"Station (ie. WABC-AM  WCBS-FM)"," Home Nielsen Audio MSA"," Primary Format"," Simulcast"," Bdcasts in HD"," Multicasts"," Group Owner"," LMA",
"WPLF-FM","Nassau-Suffolk (Long Island)","Contemporary Christian","","No","","K-Love, Inc.","",
"WTWH-FM","Wilkes Barre-Scranton","Religious Teaching","","No","","Calvary Chapel Bible Broadcasting","",
"WVER-FM","","Classical","","No","","Vermont Public Co.","",
"KBKV-FM","","Contemporary Christian","","No","","K-Love, Inc.","",
"KCBJ-FM","","Religious Teaching","","No","","Fargo Baptist Church","",
"WYWL-FM","Chicago","Religious Teaching","","No","","2820 Communications Inc.","",
"WVGW-FM","","Format Not Available","","No","","Araiza Revival Ministries, Inc.","",
"WTHX-FM","","Religious Teaching","","No","","2820 Communications Inc.","",
"WHOZ-FM","","Religious Teaching","","No","","2820 Communications Inc.","",
"KRDF-FM","Ft. Collins-Greeley, CO","Adult Hits","","No","","Ridgeline Radio, Inc.","",
"KSHW-FM","","Religious Teaching","","No","","Grace Baptist Church of Iowa","",
"KZIS-FM","Sacramento","Hot AC","","No","","iHeartMedia, Inc.","",
"KVSU-FM","Phoenix","Classic Rock","","No","","Prescott Valley Broadcasting Co.","",
"KCWP-FM","","Religious Teaching","","No","","Bott Broadcasting Co.","",
"KFCA-FM","","Religious Teaching","","No","","American Christian Radio, Inc.","",
"KHRG-FM","","Classic Country","","No","","Solid Rock Foundation","",
"KLHY-FM","Honolulu","Contemporary Christian","","No","","K-Love, Inc.","",
"KOSW-FM","","Variety","","No","","City of Ocean Shores","",
"KQWD-FM","","Contemporary Christian","","No","","Solid Rock Foundation","",
"KRHJ-FM","","Classic Rock","","No","","KRH Educational Foundation","",
"KTGP-FM","","Religious Teaching","","No","","Highland Baptist Church","",
"KWGP-FM","","Religious Teaching","","No","","Bible Baptist Church","",
"KYBF-FM","","Religious Teaching","","No","","Bible Broadcasting Network","",
"KYHA-FM","","Religious Teaching","","No","","Bible Broadcasting Network","",
"WNJQ-FM","Allentown-Bethlehem","Religious Teaching","","No","","CALVARY CHAPEL MORRIS HILLS","",
"KLHE-FM","","Contemporary Christian","","No","","K-Love, Inc.","",
"KJWD-FM","","Contemporary Christian","","No","","Solid Rock Foundation","",
"WNQS-FM","","News/Talk","","No","","Western North Carolina Public Radio","",
"KQYZ-FM","","Classic Hits","","No","","Valley Broadcasting LLC","",
"KYAS-FM","","Religious Teaching","","No","","American Christian Radio, Inc.","",
"WDLK-FM","Richmond","Religious Teaching","","No","","Redeemer Broadcasting, Inc.","",
"WELN-FM","","News/Talk","","No","","St. Lawrence University","",
"KPBY-FM","","Classical","","No","","Spokane Public Radio, Inc.","",
"KAUK-FM","","News/Talk","KTOOFM","No","","KTOO Public Media","",
"KLPL-FM","","Contemporary Christian","","No","","Walla Walla University","",
"KPSR-FM","","Religious Teaching","","No","","The Praise Network, Inc.","",
"KWOT-FM","","Inspirational Gospel","","No","","Cliffview Chapel Baptist Church","",
"KXAH-FM","","Religious Teaching","","No","","International Scripture Ministries, Inc.","",
"KXAO-FM","","Religious Teaching","","No","","CSN International","",
"WGIF-FM","","Religious Teaching","","No","","Barron Calvary Baptist Church, INC","",
"WITM-FM","","Religious Teaching","","No","","Three Angels Broadcasting Network, Inc.","",
"WPLH-FM","","Adult Alternative","","No","","Abraham Baldwin Agricultural College","",
"WKGG-FM","Hartford-New Britain-Middletown","Spanish Contemporary Christian","","No","","REVIVAL CHRISTIAN MINISTRIES, INC.","",
"WZTG-FM","Atlanta","Religious Teaching","","No","","Solid Foundation Broadcasting Corporation","",
"WYJL-FM","","Religious Teaching","","No","","Elijah Radio, Inc.","",
"WUTD-FM","","Format Not Available","","No","","LA MAS Z RADIO, INC.","",
"WTWK-FM","","Contemporary Christian","","No","","One Connection Media Group","",
"WQJL-FM","Huntsville","Religious Teaching","","No","","Elijah Radio, Inc.","",
"WARD-FM","Dayton","Soft Christian","","No","","K-Love, Inc.","",
"WBED-FM","","Classic Hits","","No","","Cause 4 Paws Inc.","",
"WFCP-FM","","Religious Teaching","","No","","Calvary Chapel Bible Broadcasting","",
"KWMV-FM","","Americana","","No","","COMMUNITY EDUCATIONAL RADIO","",
"WCJL-FM","Birmingham","Religious Teaching","","No","","Elijah Radio, Inc.","",
"WLJL-FM","Birmingham","Religious Teaching","","No","","Elijah Radio, Inc.","",
"WZJL-FM","Dothan, AL","Religious Teaching","","No","","Elijah Radio, Inc.","",
"KTFZ-FM","","News/Talk","","No","","University of Montana","",
"KMKB-FM","","Variety","","No","","Tropics Inc","",
"WAIT-FM","","Adult Hits","","No","","Openskyradio Corp.","",
"KSCF-FM","","Silent","","No","","My Bridge Radio, Inc.","",
"KEUK-FM","","News/Talk","","No","","University of Montana","",
"WQOT-FM","","Religious Teaching","","No","","2820 Communications Inc.","",
"KXNG-FM","","Spanish Contemporary Christian","","No","","My Bridge Radio, Inc.","",
"KDYR-FM","","Americana","","No","","Radio Goldfield Broadcasting, Inc.","",
"KTLG-FM","","Format Not Available","","No","","Tropics Inc","",
"KBVD-FM","","Adult Hits","","No","","Openskyradio Corp.","",
"KGSM-FM","","Religious Teaching","","No","","VISIONALASKA, INC., ALASKA BRETHREN MINISTRIES","Voice for Christ Ministries, Inc.",
"KVRK-FM","","Variety","","No","","Radio Free Palmer, Inc.","",
"WCIN-FM","","Contemporary Christian","","No","","Family Life Ministries Radio","",
"WQNP-FM","Providence-Warwick-Pawtucket","Silent","","No","","The Marconi Broadcasting Foundation","",
"KQFR-FM","","Religious Teaching","","No","","Upper Columbia Media Association","",
"KRYJ-FM","","Variety","","No","","SAN TAN EDUCATIONAL MEDIA","",
"KRXS-FM","","Format Not Available","","No","","Rim Country Media Inc.","",
"KTCG-FM","Dallas-Ft. Worth","Ethnic","","No","","Ampex Brands Texas FM, LLC","FunAsia Media",
"WKYG-FM","","Religious Teaching","","No","","Madisonville Christian School","",
"KKBV-FM","","Contemporary Christian","","No","","K-Love, Inc.","",
"KJGC-FM","","Contemporary Christian","KJILFM","No","","Great Plains Christian Radio","",
"KLRK-FM","","Contemporary Christian","","No","","K-Love, Inc.","",
"KKEH-FM","","Contemporary Christian","","No","","Upper Columbia Media Association","",
"KVRG-FM","","Religious Teaching","","No","","Solid Rock Foundation","",
"WLIH-FM","","Country","","No","","Seven Mountains Media, LLC","",
"KCGS-FM","","Contemporary Christian","","No","","ICHTHUS OUTREACH MINISTRIES, LLC","",
"KXQX-FM","","Format Not Available","","No","","Rim Country Media Inc.","",
"KAMC-FM","","Adult Hits","","No","","Alaska Multi Culture Corp.","",
"WVOI-FM","Ft. Myers-Naples","80s Hits","","No","","Bokev Media, Inc.","",
"KRFR-FM","","Format Not Available","","No","","Four Rivers Community Radio","",
"WBZK-FM","","Adult Alternative","","No","HD2:Oldies-Oldies 94.7 / HD3:Urban Adult Hits-94.7 The Beat","Oxford Media Group, Inc.","",
"KQWM-FM","","Religious Teaching","","No","","Bott Broadcasting Co.","",
"KOFW-FM","","Format Not Available","","No","","Our Father`s World Radio","",
"WLHE-FM","","Religious Teaching","","No","","Madisonville Christian School","",
"KHYC-FM","","Contemporary Christian","","No","","Great Plains Christian Radio","",
"WMYQ-FM","","Classic Rock","","No","","Kizart Media Partners","Larry Fuss",
"KAAC-FM","","Religious Teaching","","No","","ADVENTIST RADIO ALASKA CORPORATION","",
"KTMV-FM","","Variety","","No","","Kashunamiut School District","",
"KBOU-FM","","Format Not Available","","No","","Our Father`s World Radio","",
"KCBG-FM","Corpus Christi","Format Not Available","","No","","PODEROSA BROADCASTING CORPORATION","",
"KSAY-FM","","Religious Teaching","","No","","Faith Family Media, Inc.","",
"WCKO-FM","","Contemporary Christian","","No","","K-Love, Inc.","",
"KLCM-FM","","Spanish Religious Teaching","","No","","Libertad En Cristo Ministries","",
"WPMU-FM","","Religious Teaching","WTLRFM","No","","Central Pennsylvania Christian Institute","",
"KJXL-FM","","Adult Hits","","No","","Prescott Valley Broadcasting Co.","",
"KCRQ-FM","","Silent","","No","","Recharge Media PBC","",
"WGWM-FM","","Religious Teaching","","No","","Barters Island Baptist Church","",
"KGLU-FM","","Religious Teaching","","No","","Lifetalk Radio, Inc.","",
"WMVA-FM","Roanoke-Lynchburg","Inspirational Gospel","","No","","FRIENDSHIP CATHEDRAL FAMILY WORSHIP CENTER, INC.","",
"KHBN-FM","","Religious Teaching","","No","","American Christian Radio, Inc.","",
"KMRE-FM","","Variety","","No","","KULSHAN COMMUNITY MEDIA","",
"WHCH-FM","","Country","","No","","HIT RADIO MEDIA, LLC","",
"WYHN-FM","","Religious Teaching","","No","","Bible Broadcasting Network","",
"KHUN-FM","","Classic Rock","","No","","Eastern Utah Broadcasting Co.","",
"WCGM-FM","","Religious Teaching","","No","","Family Life Ministries Radio","",
"WHCP-FM","","Variety","","No","","Mid-Shore Community Radio, Inc.","",
"KFMP-FM","","Format Not Available","","No","","St. John the Baptist Catholic Church of Meade","",
"KYHK-FM","","Religious Teaching","","No","","Bible Broadcasting Network","",
"KBSC-FM","","Classical","KBSUFM","No","","Boise State University","",
"KPJM-FM","","Rock","","No","","PAYSON HELPING PAYSON, INC.","",
"WRNC-FM","","Southern Gospel","","No","","The Power Foundation","",
"WDAA-FM","","Religious Teaching","","No","","CSN International","",
"WGML-FM","","Soft Christian","","No","","Pathway Christian Academy, Inc.","",
"KGRU-FM","","Contemporary Christian","KGRDFM","No","","The Praise Network, Inc.","",
"KGVI-FM","","Religious Teaching","","No","","Salt & Light Radio, Inc.","",
"KJHI-FM","","Contemporary Christian","KJILFM","No","","Great Plains Christian Radio","",
"WCOT-FM","","Religious Teaching","","No","","Family Life Ministries Radio","",
"KEJS-FM","","Religious Teaching","","No","","VSS Catholic Communications, Inc.","",
"KKHR-FM","","Adult Hits","KTJKFM","No","","WesTex Telco, LLC","",
"KSGU-FM","","Religious Teaching","KNLBFM","No","","New Life Christian School","",
"KHRM-FM","","Americana","","No","","Radio Goldfield Broadcasting, Inc.","",
"KCVV-FM","Redding, CA","Spanish Religious Teaching","","No","","Radio Santisimo Sacramento, Inc.","",
"WCOI-FM","","Religious Teaching","","No","","Family Life Ministries Radio","",
"KJCL-FM","","Religious Teaching","","No","","We Have This Hope Christian Radio, Inc.","",
"KXUW-FM","","News/Talk","","No","","University of Wyoming","",
"KTGT-FM","","Religious Teaching","","No","","We Have This Hope Christian Radio, Inc.","",
"WCGB-FM","","Religious Teaching","","No","","Family Life Ministries Radio","",
"KBTG-FM","","Format Not Available","","No","","Buffalo Baptist Church","",
"KJBA-FM","","Format Not Available","","No","","New Hope Baptist Church of Craig","",
"WDJD-FM","","Religious Teaching","","No","","We Have This Hope Christian Radio, Inc.","",
"KYEJ-FM","","Religious Teaching","","No","","FAIRMONT AREA CATHOLIC RADIO","",
"KUMD-FM","","News/Talk","","No","","University of Montana","",
"KSWJ-FM","","Religious Teaching","","No","","We Have This Hope Christian Radio, Inc.","",
"KEWR-FM","Cedar Rapids","Religious Teaching","","No","","CALVARY CHAPEL IOWA","",
"WPMN-FM","","Religious Teaching","WTLRFM","No","","Central Pennsylvania Christian Institute","",
"KPUW-FM","","News/Talk","","No","","University of Wyoming","",
"KTQR-FM","","Format Not Available","","No","","Truth Quest Radio","",
"KKSH-FM","","Format Not Available","","No","","Alpha Consulting Christian Education","",
