"Station (ie. WABC-AM  WCBS-FM)"," Home Nielsen Audio MSA"," Primary Format"," Simulcast"," Bdcasts in HD"," Multicasts"," Group Owner"," LMA",
"CFNY-FM","","Modern/Alternative Rock","","No","","Corus Entertainment, Inc.","",
"CHTZ-FM","","Rock","","No","","Whiteoaks Communications Group","",
"CHUM-FM","","Hot AC","","No","","Bell Media Radio","",
"CIDR-FM","","CHR","","No","","Bell Media Radio","",
"CILQ-FM","","Rock","","No","","Corus Entertainment, Inc.","",
"CIMX-FM","","Modern/Alternative Rock","","No","","Bell Media Radio","",
"CFLZ-FM","","Adult Hits","","No","","Byrnes Communications","",
"CKLW-AM","","News/Talk","","No","","Bell Media Radio","",
"CKWW-AM","","Classic Hits","","No","","CINA Radio Group","",
"KAAA-AM","","News/Talk","KZZZAM","No","","Cameron Broadcasting, Inc.","",
"KAAB-AM","","Classic Country","KKIKFM","No","","WRD Entertainment, Inc.","",
"KAAK-FM","","Hot AC","","No","","Townsquare Media","",
"KAAN-AM","","Sports","","No","","CARTER MEDIA LLC","",
"KAAN-FM","","Country","","No","","CARTER MEDIA LLC","",
"KAAQ-FM","","Country","KQSKFM","No","","Eagle Radio, Inc.","",
"KAAR-FM","","Country","","No","","Townsquare Media","",
"KAAT-FM","Fresno","Spanish Regional Mexican","","No","","Lazer Media","",
"KAAY-AM","Little Rock","Religious Teaching","","No","","Cumulus Media, Inc.","",
"KABC-AM","Los Angeles","Talk","","Yes","","Cumulus Media, Inc.","",
"KABI-AM","Salina-Manhattan, KS","Classic Hits","","No","","MERIDIAN MEDIA, LLC","",
"KJSM-FM","","Religious Teaching","","No","","Family Worship Center Church, Inc.","",
"KNEW-AM","San Francisco","Sports","","Yes","","iHeartMedia, Inc.","",
"KABQ-AM","Albuquerque","Sports","","Yes","","iHeartMedia, Inc.","",
"KABX-FM","Modesto","Adult Contemporary","","No","","Stephens Media Group","",
"KDLD-FM","Los Angeles","Spanish CHR","KDLEFM","Yes","","Entravision Communications Corp.","",
"KRCD-FM","Los Angeles","Spanish Adult Hits","KRCVFM","Yes","","TelevisaUnivision, Inc","",
"KACH-AM","","Classic Hits","","No","","Val Cook","",
"KTDS-AM","","Country","","No","","Bicoastal Media, LLC","",
"KACI-FM","","Classic Hits","","No","","Bicoastal Media, LLC","",
"KACT-AM","","Talk","","No","","Andrews Broadcasting Company Incorporated","",
"KACT-FM","","Country","","No","","Andrews Broadcasting Company Incorporated","",
"KOOS-FM","","Hot AC","","No","","Bicoastal Media, LLC","",
"KFXZ-AM","Lafayette, LA","News/Talk","","No","","Delta Media Corporation","",
"KADA-AM","","Rock","","No","","Chickasaw Nation","",
"KADA-FM","","Classic Hits","","No","","Chickasaw Nation","",
"KADI-FM","Springfield, MO","Contemporary Christian","","No","","Vision Communications, Inc. (Missouri)","",
"KUPI-FM","","Country","KQPIFM","No","HD2:Classic Country-KUPI Legends 92.5","Sandhill Media Corp.","",
"KADR-AM","","Adult Contemporary","","No","","Design Homes, Inc.","",
"KADS-AM","","Sports","","No","","Paragon Communications, Inc.","",
"KZBD-FM","Spokane","CHR","","No","","Stephens Media Group","",
"KJJP-FM","Amarillo, TX","News/Talk","","Yes","HD2:News/Talk-HPPR Connect","High Plains Public Radio","",
"KAFE-FM","","Soft AC","","Yes","","Saga Communications, Inc.","",
"KAFF-AM","","Country","","No","","Flagstaff Radio, Inc.","",
"KAFF-FM","","Country","","No","","Flagstaff Radio, Inc.","",
"KKTC-FM","","Country","","No","","L.M.N.O.C. Broadcasting LLC","",
"KAFX-FM","","CHR","","No","","Townsquare Media","",
"KHTY-AM","Bakersfield","Sports","KBFPAM","No","","iHeartMedia, Inc.","",
"KAGC-AM","Bryan-College Station, TX","Urban Adult Contemporary","","No","","Bryan Broadcasting","",
"KHWK-AM","","Country","","No","","Leighton Enterprises, Inc.","",
"KGSL-FM","","Hot AC","","No","","Leighton Enterprises, Inc.","",
"KAGG-FM","Bryan-College Station, TX","Country","","No","","iHeartMedia, Inc.","",
"KAGH-AM","","Sports","","No","","Ashley County Broadcasters, Inc.","R&M Broadcasting, Inc.",
"KAGH-FM","","Country","","No","","Ashley County Broadcasters, Inc.","R&M Broadcasting, Inc.",
"KAGI-AM","","News/Talk","","Yes","","Southern Oregon University","",
"KAGL-FM","","Classic Rock","","No","","Noalmark Broadcasting Corp.","",
"KAGO-AM","","Talk","","No","","I3G Media, Inc.","",
"KFXX-FM","","Classic Hits","","No","","I3G Media, Inc.","",
"KAGY-AM","New Orleans","Gospel Music","","No","","Spotlight Broadcasting, LLC","",
"KAHI-AM","Sacramento","Talk","","No","","KAHI Corporation","",
"KAHM-FM","","Easy Listening","","No","HD2:Classic Rock-93.5 Classic Rock","CHAVEZ RADIO GROUP","Prescott Broadcasting, LLC",
"KAHR-FM","","Adult Hits","","No","","Eagle Bluff Enterprises","",
"KIPA-AM","","Religious Teaching","","No","","CSN International","",
"KMNY-AM","Dallas-Ft. Worth","Spanish Contemporary Christian","","No","","Multicultural Radio Broadcasting","",
"KHCM-AM","Honolulu","Ethnic","","No","","Malama Media Group , LLC .","Global Broadcasting Services of Hawaii",
"KAIM-FM","Honolulu","Soft Christian","","No","","K-Love, Inc.","",
"KAJA-FM","San Antonio","Country","","Yes","","iHeartMedia, Inc.","",
"KUZN-FM","","Spanish Contemporary Christian","KFTGFM","No","","Aleluya Broadcasting Network","",
"KJNY-FM","","CHR","","No","","William W. McCutchen, III","",
"KAJN-FM","Lafayette, LA","Contemporary Christian","","Yes","","Agape Broadcasters, Inc.","",
"KAJO-AM","","Adult Contemporary","","No","","Grants Pass Broadcasting Co.","",
"KGSR-FM","Austin","Classic Hip Hop","","Yes","HD2:Adult Alternative-Austin City Limits Radio 93.3  / HD3:Rock-No Control Radio ","Sinclair Telecable, Inc.","",
"WUUU-FM","New Orleans","Country","","No","","Pittman Broadcasting Services, LLC","",
"KAKC-AM","Tulsa","Talk","","No","","iHeartMedia, Inc.","",
"KAKJ-FM","","Urban Adult Contemporary","KCLTFM","No","","Delta Force II Radio","",
"KAKN-FM","","Contemporary Christian","KAKDFM/KIGIFM","No","","Assn. of Free Lutheran Congregations Mission Corp.","",
"KAKQ-FM","","Hot AC","","No","","iHeartMedia, Inc.","",
"KALC-FM","Denver-Boulder","Hot AC","","Yes","HD2:Hot AC-Channel Q","Audacy","",
"KALE-AM","","Contemporary Christian","","No","","Stephens Media Group","",
"KALF-FM","Chico, CA","Country","","No","","Stephens Media Group","",
"KMRB-AM","Los Angeles","Ethnic","","No","","Multicultural Radio Broadcasting","",
"KALK-FM","","Classic Hits","","No","","East Texas Broadcasting, Inc.","",
"KALM-AM","","Southern Gospel","","No","","E-Communications, LLC","",
"KIOL-AM","","Classic Hits","","No","","Ad Astra Radio","",
"KDEI-AM","Beaumont-Port Arthur, TX","Religious Teaching","","No","","Radio Maria, Inc.","",
"KALP-FM","","Classic Country","","No","","Alpine Radio, LLC","",
"KALQ-FM","","Country","","No","","Wolf Creek Broadcasting, LLC","",
"KALR-FM","Hot Springs, AR","Soft Christian","","No","","K-Love, Inc.","",
"KALS-FM","","Religious Teaching","","No","","Hi-Line Radio Fellowship, Inc.","",
"KPYN-AM","","Contemporary Christian","","No","","Cass County Radio, Inc.","",
"KALV-AM","","Classic Country","","No","","Remember Media, LLC","",
"KDSK-AM","Albuquerque","Oldies","KDSKFM","No","","KD Radio, Inc.","",
"KAMA-AM","El Paso","Spanish Rhythmic-CHR","","No","","97.5 Holdings","",
"KAMB-FM","Modesto","Contemporary Christian","","No","","Central Valley Broadcasting, Inc.","",
"KAMD-FM","","Sports","","No","","Bunyard Broadcasting","",
"KVNN-AM","","Talk","","No","","Barger Broadcasting Co.","",
"KAMI-AM","","Classic Country","","No","","Nebraska Rural Radio Association","",
"KCVN-FM","","Religious Teaching","","No","","Bott Broadcasting Co.","",
"KAMJ-FM","Memphis","Urban Adult Contemporary","","No","","East Arkansas Broadcasters","",
"KAML-AM","","Religious Teaching","","No","","KARNES CITY WORSHIP CENTER, INC","",
"KAML-FM","","Hot AC","","No","","Legend Communications, LLC","",
"KFFK-AM","Fayetteville (North West Arkansas)","Country","","No","","Rox Radio Group","",
"KAMO-FM","Fayetteville (North West Arkansas)","Country","","No","","Cumulus Media, Inc.","",
"KWST-AM","","Spanish Religious Teaching","","No","","El Sembrador Ministries","",
"KAMQ-AM","","Rock","","No","","Hughes Broadcasting, Inc.","",
"KAMS-FM","","Country","","No","","E-Communications, LLC","",
"KXLL-FM","","Modern/Alternative Rock","","Yes","","KTOO Public Media","",
"KAMX-FM","Austin","Hot AC","","No","","Audacy","",
"KAND-AM","","Silent","","No","","New Century Broadcasting, LLC","",
"KANE-AM","Lafayette, LA","Ethnic","","No","","Coastal Radio, Inc.","",
"KWBT-FM","Waco, TX","Spanish Regional Mexican","","Yes","HD2:Sports-CBS Sports 94.5 HD2","Kennelwood Broadcasting Co., Inc.","Torres Media Group",
"KMOR-FM","","Classic Rock","","No","","Nebraska Rural Radio Association","",
"KANN-AM","Salt Lake City-Ogden-Provo","Contemporary Christian","","No","","Faith Communications Corp.","",
"KDCZ-FM","Rochester, MN","Classic Rock","","No","","Townsquare Media","",
"KGHF-FM","Wichita","Classic Country","","Yes","HD2:Regional Mexican-La Raza 102.5","Steckline Communications, Inc.","",
"KLQR-AM","","Classic Hits","","No","","Ad Astra Radio","",
"KMXN-FM","Topeka","Country","","Yes","","Great Plains Media","",
"KCAJ-FM","","Adult Contemporary","","No","","North Country Media, Inc.","",
"KHBC-FM","","CHR","KHWIFM","No","","Resonate Hawaii LLC","",
"KAOI-AM","","Talk","","No","","Akamai Broadcasting of Hawaii LLC","",
"KIXK-FM","","Country","","No","","Akamai Broadcasting of Hawaii LLC","",
"KAOK-AM","","Talk","","No","","Cumulus Media, Inc.","",
"KROL-AM","","Talk","","No","","CARTER MEDIA LLC","",
"KAOY-FM","","Ethnic","KWXXFM","No","","New West Broadcasting Corp.","",
"KAPB-FM","","Classic Country","","No","HD2:R&B Classic-Old School 977-2","BONTEMPS MEDIA SERVICES LLC","",
"KAPE-AM","","Talk","","No","","Withers Broadcasting Co.","",
"KKAT-AM","Salt Lake City-Ogden-Provo","Talk","","No","","Cumulus Media, Inc.","",
"KAPR-AM","","Silent","","No","","RedRock Media Group","",
"KAPS-AM","","Country","","No","","J & J Broadcasting, Inc. (WA)","",
"KQNT-AM","Spokane","News/Talk","","Yes","","iHeartMedia, Inc.","",
"KVVF-FM","San Jose","Spanish Urban Contemporary","KVVZFM","Yes","HD2:Spanish Adult Contemporary-Latino Mix ","TelevisaUnivision, Inc","",
"KARB-FM","","Country","","No","HD2:Classic Rock-Rock 103","Eastern Utah Broadcasting Co.","",
"KARI-AM","","Religious Teaching","","No","","Multicultural Radio Broadcasting","",
"KARL-FM","","Country","","No","","Linder Radio, Inc.","",
"KARN-AM","Little Rock","Sports","","Yes","","Cumulus Media, Inc.","",
"KVLO-FM","Little Rock","Adult Hits","","No","","East Arkansas Broadcasters","",
"KSAS-FM","Boise","CHR","","No","","Townsquare Media","",
"KMJI-FM","","Urban Adult Contemporary","","No","","Townsquare Media","",
"KDNF-AM","Albuquerque","Classic Country","","No","","KD Radio, Inc.","",
"KART-AM","","Classic Country","","No","","Lee Family Broadcasting, Inc.","",
"KARV-AM","","News/Talk","","No","","East Arkansas Broadcasters","Arkansas River Valley Radio, LLC",
"KPUR-FM","Amarillo, TX","Country","","No","","Cumulus Media, Inc.","",
"KZXR-AM","","Spanish Contemporary Christian","","No","","La Estacion De La Familia","",
"KARY-FM","","Classic Hits","","No","","Stephens Media Group","",
"KRRX-FM","Redding, CA","Rock","","No","","Stephens Media Group","",
"KASE-FM","Austin","Country","","Yes","HD2:Adult Alternative-Alt 97.5","iHeartMedia, Inc.","",
"KOAN-AM","Anchorage","Spanish Contemporary Christian","","No","","La Estacion De La Familia","",
"KASH-FM","Anchorage","Country","","No","","iHeartMedia, Inc.","",
"KASI-AM","Des Moines","News/Talk","","No","","iHeartMedia, Inc.","",
"KHQT-FM","Las Cruces-Deming, NM","CHR","","No","","Adams Radio Group, LLC","",
"KASL-AM","","Country","","No","","Val Cook","",
"KASM-AM","St. Cloud, MN","Farm","","No","","CRYSTAL MEDIA GROUP, LLC","",
"KDDG-FM","St. Cloud, MN","Classic Country","","Yes","HD2:Farm-1150 AM KASM","CRYSTAL MEDIA GROUP, LLC","",
"KASO-AM","Shreveport","Classic Hits","","No","","Minden Broadcasting LLC","",
"KLKL-FM","Shreveport","Classic Hits","","No","","Connoisseur Media, LLC","",
"KOKP-AM","","Sports","KOKBAM","No","","Team Radio, LLC","",
"KOSB-FM","","Sports","KOKBAM","No","","Team Radio, LLC","",
"KASS-FM","","Classic Rock","","No","","Mt. Rushmore Broadcasting, Inc.","",
"KAST-AM","","News/Talk","","No","","Ohana Media Group, LLC","",
"KRYP-FM","Portland, OR","Spanish Regional Mexican","","No","","Salem Media Group","",
"KDRF-FM","Albuquerque","Adult Hits","","Yes","","Cumulus Media, Inc.","",
"KATA-AM","","Sports","","No","","Bicoastal Media, LLC","",
"KATD-AM","San Francisco","Spanish Variety","KIQIAM","No","","Multicultural Radio Broadcasting","",
"KATE-AM","","Talk","","No","","Connoisseur Media, LLC","",
"KATF-FM","","Adult Contemporary","","No","","Radio Dubuque, Inc.","",
"KOBB-FM","","Classic Hits","","No","","DESERT MOUNTAIN BROADCASTING LICENSES, LLC","",
"KATJ-FM","Victor Valley","Country","","Yes","HD2:Urban Contemporary-HD 96.3","El Dorado Broadcasters, LLC","",
"KATK-AM","","Spanish Regional Mexican","","No","","Hughes Broadcasting, Inc.","",
"KATK-FM","","Country","","No","","Hughes Broadcasting, Inc.","",
"KATL-AM","","Hot AC","","No","","Star Printing Co.","",
"KATM-FM","Modesto","Country","","Yes","","Cumulus Media, Inc.","",
"KATO-AM","","Talk","","No","","DOUBLE-R-COMMUNICATIONS LLC","",
"KATP-FM","Amarillo, TX","Country","","No","","Townsquare Media","",
"KATQ-AM","","Classic Country","","No","","Radio International KATQ Broadcast Association","",
"KATQ-FM","","Classic Rock","","No","","Radio International KATQ Broadcast Association","",
"KATR-FM","","Country","","No","","Media Logic, LLC","",
"KATS-FM","","Rock","","No","","Townsquare Media","",
"KATT-FM","Oklahoma City","Rock","","Yes","","Cumulus Media, Inc.","",
"KATW-FM","","Hot AC","","No","","DailyFly","",
"KATY-FM","Riverside-San Bernardino","Hot AC","KHTIFM","No","","All Pro Broadcasting, Inc.","",
"KATZ-AM","St. Louis","Inspirational Gospel","","Yes","","iHeartMedia, Inc.","",
"KAUM-FM","","Country","","No","","EXTREME MEDIA, LLC","",
"KAUS-AM","","News/Talk","","No","","Connoisseur Media, LLC","",
"KAUS-FM","Rochester, MN","Country","","No","","Connoisseur Media, LLC","",
"KCNR-AM","Redding, CA","Talk","","No","","Free Fire Media, Inc.","",
"KAVL-AM","Los Angeles","Silent","","No","","Rubin Broadcasting, Inc.","",
"KTPI-FM","Bakersfield","Silent","","No","","RZ Radio LLC","",
"KCNN-FM","","Country","","No","","RedRock Media Group","",
"KFLP-AM","","Farm","","No","","Paramount Broadcasting Corp","",
"KAWL-AM","","Classic Hits","","No","","Nebraska Rural Radio Association","",
"KAWW-AM","","Classic Country","KEAZFM","No","","Freedom Broadcasting, Inc.","",
"KEAZ-FM","","Classic Country","KAWWAM","No","","Freedom Broadcasting, Inc.","",
"KXSM-FM","","Spanish Regional Mexican","","No","","Lazer Media","",
"KSSC-FM","Oxnard-Ventura","Spanish Adult Hits","KLYYFM","Yes","","Entravision Communications Corp.","",
"KFNC-FM","Houston-Galveston","Sports","","Yes","","Gow Communications, LLC","",
"KAYL-AM","","Spanish Adult Hits","","No","","Community First Broadcasting, LLC","",
"KAYL-FM","","Adult Contemporary","","No","","Community First Broadcasting, LLC","",
"KDDS-FM","Seattle-Tacoma","Spanish Regional Mexican","","No","","Bustos Media Corporation","",
"KAYQ-FM","","Country","","No","","STICKS MEDIA, LLC","",
"KAYS-AM","","Classic Hits","","No","","Eagle Radio, Inc.","",
"KAYX-FM","Kansas City","Religious Teaching","","No","","Bott Broadcasting Co.","",
"KAZA-AM","San Jose","Ethnic","","No","","Intelli, LLC","",
"KRQT-FM","","Classic Rock","","No","","Bicoastal Media, LLC","",
"KAZM-AM","","Easy Listening","","No","","Cutter Grind Broadcasting LLC","",
"KAZN-AM","Los Angeles","Ethnic","KAHZAM","No","","Multicultural Radio Broadcasting","",
"KBNW-FM","Spokane","News/Talk","KSBNAM","No","","Spokane Broadcasting Company, LLC","Horizon Broadcasting Group, LLC",
"KBAC-FM","","Adult Alternative","","No","","Hutton Broadcasting, LLC","",
"KTXX-FM","Austin","Spanish Regional Mexican","KZNXAM","Yes","HD3:Regional Mexican-Leyendas 98.5 / HD4:Spanish CHR-105.3 The Bat","Norsan Group","",
"KROY-AM","","Classic Country","KNUZFM","No","","La Grange Broadcasting","",
"KNUZ-FM","","Classic Country","KROYAM","No","","La Grange Broadcasting","",
"KEDO-AM","","Talk","","No","","Bicoastal Media, LLC","",
"KBAR-AM","","Talk","","No","","Lee Family Broadcasting, Inc.","",
"KZZZ-AM","","News/Talk","KAAAAM","No","","Cameron Broadcasting, Inc.","",
"KZBT-FM","Odessa-Midland, TX","Urban Contemporary","","No","","Townsquare Media","",
"KSSD-FM","San Diego","Spanish Adult Hits","KLYYFM","Yes","","Entravision Communications Corp.","",
"KBRG-FM","San Jose","Spanish Adult Contemporary","","Yes","HD2:Contemporary Christian-Amor Celestial","TelevisaUnivision, Inc","",
"KZQQ-AM","","News/Talk","","No","","WesTex Telco, LLC","",
"KRRK-FM","","Classic Rock","","No","","Rick L. Murphy","",
"KMPK-FM","Salina-Manhattan, KS","Adult Contemporary","","No","","Ad Astra Radio","",
"KKRK-AM","","Classic Rock","","No","","Lee Family Broadcasting, Inc.","",
"KPZK-FM","Little Rock","Inspirational Gospel","","No","","The Last Bastion Station Trust","Cumulus Media, Inc.",
"KBBN-FM","","Classic Rock","","No","","David J. Birnie","",
"KBBO-AM","","Silent","","No","","Stephens Media Group","",
"KNSH-FM","Ft. Smith, AR","Country","","No","","Cumulus Media, Inc.","",
"KBBR-AM","","Oldies","","No","","Bicoastal Media, LLC","",
"KBBS-AM","","Classic Country","","No","","Legend Communications, LLC","",
"KUFO-AM","Portland, OR","Talk","","No","","Connoisseur Media, LLC","",
"KCAA-AM","","Talk","","No","","Broadcasting Management Services, Inc.","",
"KBBW-AM","Waco, TX","Talk","","No","","KBBW LLC","",
"KXCB-AM","Omaha-Council Bluffs","Country","","No","","Walnut Radio, LLC","",
"KBBY-FM","Oxnard-Ventura","Adult Contemporary","","No","","Cumulus Media, Inc.","",
"KBBZ-FM","","Classic Rock","","Yes","","Bee Broadcasting, Inc.","",
"KDLE-FM","Los Angeles","Spanish CHR","KDLDFM","Yes","","Entravision Communications Corp.","",
"KBCE-FM","","Adult Hits","","No","","JWBP Broadcasting, LLC","",
"KBCH-AM","","Oldies","","No","","Scottview Media Project, Inc.","",
"KSRN-FM","Sacramento","Spanish Regional Mexican","","No","","Lazer Media","",
"KBCL-AM","Shreveport","Religious Teaching","","No","","Barnabas Center Ministries","",
"KBCN-FM","","Sports","","No","","Pearson Broadcasting","",
"KVCU-AM","Denver-Boulder","Variety","","No","","University of Colorado","",
"KBCO-FM","Denver-Boulder","Adult Alternative","","Yes","","iHeartMedia, Inc.","",
"KBCQ-FM","","Adult Contemporary","","No","","Majestic Communications, LLC","",
"KBCR-FM","","Country","","No","","Blizzard Broadcasting","",
"KBCY-FM","","Country","","No","","Cumulus Media, Inc.","",
"KBDR-FM","Laredo, TX","Spanish Regional Mexican","","No","","Leading Media Group Corp.","Radio United",
"KBDZ-FM","","Classic Rock","KQDZFM","No","","Donze Communications, Inc.","",
"KBEC-AM","Dallas-Ft. Worth","Classic Country","","No","","James R. Phillips and Ann E. Phillips","",
"KESP-AM","Modesto","Sports","","Yes","","Cumulus Media, Inc.","",
"KBEE-FM","Salt Lake City-Ogden-Provo","Adult Contemporary","","Yes","","Cumulus Media, Inc.","",
"KBEK-FM","","Adult Contemporary","","No","","Quarnstrom Stations","",
"KBEL-AM","","Contemporary Christian","","No","","JL Radio LLC","",
"KBEL-FM","","Country","","No","","JL Radio LLC","",
"KCWJ-AM","Kansas City","Spanish Religious Teaching","","No","","RADIO VIDA KANSAS, INC.","",
"KBEQ-FM","Kansas City","Country","","No","","Steel City Media","",
"KBER-FM","Salt Lake City-Ogden-Provo","Rock","","Yes","","Cumulus Media, Inc.","",
"KHTS-AM","Los Angeles","Talk","","No","","Jeri Lyn Broadcasting, Inc","",
"KBEW-AM","","Oldies","","No","","Riverfront Broadcasting, LLC","",
"KBEW-FM","","Country","","No","","Riverfront Broadcasting, LLC","",
"KHUM-FM","","Adult Alternative","","No","","Lost Coast Communications, Inc.","",
"KRQV-FM","Tulsa","Classic Hits","","No","","GRIFFIN MEDIA","",
"KBFC-FM","","Country","","No","","Forrest City Broadcasting Co.","",
"KBFI-AM","","Talk","KSPTAM","No","","Blue Sky Broadcasting","",
"KZMO-FM","Springfield, MO","Country","","No","","Zimmer Radio of Mid-Missouri, Inc.","",
"KBFM-FM","McAllen-Brownsville-Harlingen","Rhythmic-CHR","","Yes","","iHeartMedia, Inc.","",
"KBFS-AM","","Farm","KYDTFM","No","","Tri State Communications, LLC (WY)","",
"KBFX-FM","Anchorage","Classic Rock","","No","","iHeartMedia, Inc.","",
"KISQ-FM","San Francisco","Soft AC","","Yes","","iHeartMedia, Inc.","",
"KBGN-AM","Boise","Religious Teaching","","No","","Nelson & Karen Wilson","",
"KBHB-AM","","Farm","","No","","HomeSlice Media Group, LLC","",
"KBHP-FM","","Country","","No","","Hubbard Broadcasting, Inc.","",
"KDVY-FM","","Religious Teaching","","No","","Houston Christian Broadcasters","",
"KLHC-AM","Bakersfield","Ethnic","KOBOAM","No","","Punjabi American Media, LLC","",
"KBIF-AM","Fresno","Ethnic","","No","","Punjabi American Media, LLC","",
"KBIG-FM","Los Angeles","Hot AC","","Yes","HD2:Sports-AM 570 LA Sports","iHeartMedia, Inc.","",
"KBIM-AM","","Spanish Regional Mexican","","No","","Noalmark Broadcasting Corp.","",
"KBIM-FM","","Country","","No","","Noalmark Broadcasting Corp.","",
"KIBT-FM","Colorado Springs","Rhythmic-CHR","","Yes","","iHeartMedia, Inc.","",
"KBIU-FM","","Rhythmic-CHR","","No","","Cumulus Media, Inc.","",
"KBIX-AM","","Spanish Adult Contemporary","","No","","Teletul Media Group","",
"KTFX-FM","","Country","","No","","PAYNE MEDIA GROUP LLC","",
"KBIZ-AM","","Talk","","No","","O-Town Communications, Inc.","",
"KNSG-FM","","Sports","","No","","Linder Radio, Inc.","",
"KBJM-AM","","Country","","No","","Radd Media, LLC","",
"KBJT-AM","","News/Talk","","No","","KBJT, Inc.","",
"KBKB-AM","","Sports","","Yes","","Pritchard Broadcasting Corp.","",
"KBKB-FM","","Country","","No","","Titan Broadcasting, LLC","",
"KBKG-FM","","Classic Hits","","No","","Shields-Adkins Broadcasting, Inc.","",
"KAAZ-FM","Salt Lake City-Ogden-Provo","Classic Rock","","Yes","","iHeartMedia, Inc.","",
"KBKL-FM","","Classic Hits","","No","","Townsquare Media","",
"KMHK-FM","","Classic Rock","","No","","Townsquare Media","",
"KBKR-AM","","Talk","KLBMAM","No","","Elkhorn Media Group","",
"KCFC-AM","Denver-Boulder","News/Talk","","Yes","","Colorado Public Radio","",
"KBKW-AM","","Religious Teaching","","No","","Sacred Heart Radio, Inc.","",
"KBLA-AM","Los Angeles","Talk","","No","","Multicultural Radio Broadcasting","SMILEY RADIO PROPERTIES, INC.",
"KBLE-AM","Seattle-Tacoma","Religious Teaching","","No","","Sacred Heart Radio, Inc.","",
"KBLF-AM","","Adult Standards","","No","","Independence Rock Media, LLC","",
"KBLG-AM","","Sports","","No","","DESERT MOUNTAIN BROADCASTING LICENSES, LLC","",
"KTHN-FM","","Country","","No","","Thunder Media, Inc.","",
"KBEY-FM","","Country","","No","","Victory Publishing Company, Ltd.","",
"KBLL-FM","","Country","","No","","The Montana Radio Company, LLC","",
"KBLP-FM","","Country","","No","","KBLP PARTNERS, LLC","",
"KBLQ-FM","","Adult Contemporary","","No","HD2:Soft AC-Lite-FM","Cache Valley Media Group","",
"KBLS-FM","Salina-Manhattan, KS","Adult Contemporary","","No","","Manhattan Broadcasting Co., Inc.","",
"KBLU-AM","","Silent","","No","","El Dorado Broadcasters, LLC","",
"KXPA-AM","Seattle-Tacoma","Ethnic","","No","","Multicultural Radio Broadcasting","",
"KBLX-FM","San Francisco","Urban Adult Contemporary","","Yes","HD2:R&B Classic-Old School 102.9 HD2 / HD3:Inspirational Gospel-Praise Bay Area HD3","Bonneville International","",
"KNFX-FM","Bryan-College Station, TX","Classic Rock","","No","","iHeartMedia, Inc.","",
"KBAZ-FM","","Rock","","No","","Townsquare Media","",
"KRIO-FM","","Spanish Religious Teaching","KOIRFM","No","","Rio Grande Bible Institute","",
"KCHH-FM","","Soft AC","","No","","Townsquare Media","",
"KBMR-AM","Bismarck, ND","Classic Country","","No","","iHeartMedia, Inc.","",
"KBMS-AM","Portland, OR","Urban Adult Contemporary","","No","","Bennett Media Group","",
"KBMV-FM","","Contemporary Christian","","No","","E-Communications, LLC","",
"KBMW-AM","","Country","","No","","I3G Media, Inc.","",
"KQBU-AM","El Paso","Silent","","No","","97.5 Holdings","",
"KBNA-FM","El Paso","Spanish Regional Mexican","","No","","97.5 Holdings","",
"KBND-AM","","Talk","","No","","Combined Communications, Inc.","",
"KLDC-AM","Denver-Boulder","Religious Teaching","","Yes","","Crawford Broadcasting Co.","",
"KBNP-AM","Portland, OR","Silent","","No","","Second Amendment Foundation","",
"KBOA-AM","","Adult Standards","WGCQFM","No","","Pollack Broadcasting Co.","",
"KBOA-FM","","Hot AC","","No","","Pollack Broadcasting Co.","",
"KBEA-FM","Quad Cities (Davenport-Rock Island- Moline)","CHR","","No","","Townsquare Media","",
"KBOC-FM","Dallas-Ft. Worth","Spanish Adult Contemporary","","No","","Mediaco Holding Inc.","",
"KMZN-AM","","Classic Hits","","No","","Jomast Corp.","",
"KBOE-FM","","Classic Country","","No","","Jomast Corp.","",
"KBOI-AM","Boise","News/Talk","KBOIFM","Yes","","Cumulus Media, Inc.","",
"KZYP-AM","","Silent","","No","","High Plains Radio Network, LLC","",
"KVNB-FM","Little Rock","Contemporary Christian","","No","","Encouragement Media Group","",
"KVCN-FM","","Religious Teaching","","No","","VCY America, Inc.","",
"KWMF-AM","San Antonio","Spanish Religious Teaching","","No","","VIRGEN DE GUADALUPE GLOBAL COMMUNICATIONS, LLC","",
"KKHK-FM","Monterey-Salinas-Santa Cruz","Adult Hits","","No","","Stephens Media Group","",
"KBOS-FM","Fresno","Rhythmic-CHR","","Yes","","iHeartMedia, Inc.","",
"KBOT-FM","","Hot AC","","No","","Leighton Enterprises, Inc.","",
"KBOV-AM","","Classic Hits","","No","","Great Country Broadcasting, Inc.","",
"KBOW-AM","","Country","","No","","Butte Broadcasting, Inc.","",
"KBOX-FM","Santa Barbara, CA","Adult Hits","","No","","American General Media","",
"KBOY-FM","","Classic Rock","","No","","Stephens Media Group","",
"KBOZ-AM","","Classic Country","","No","","DESERT MOUNTAIN BROADCASTING LICENSES, LLC","",
"KWBL-FM","Denver-Boulder","Country","","Yes","","iHeartMedia, Inc.","",
"KMXA-FM","","Adult Contemporary","","No","","iHeartMedia, Inc.","",
"KBRA-FM","","Silent","","No","","William W. Fulgham","",
"KBRB-AM","","Talk","","No","","Sandhills Broadcasting LLC","",
"KBRB-FM","","Classic Hits","","No","","Sandhills Broadcasting LLC","",
"KBRC-AM","","Classic Rock","","No","","J & J Broadcasting, Inc. (WA)","",
